resultId,raceId,driverId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,position_change,is_fastest_lap,driver_experience,grid_experience_interaction,avg_position_last_5,constructorId_2,constructorId_3,constructorId_4,constructorId_5,constructorId_6,constructorId_7,constructorId_8,constructorId_9,constructorId_10,constructorId_11,constructorId_12,constructorId_15,constructorId_16,constructorId_17,constructorId_19,constructorId_23,constructorId_51,constructorId_117,constructorId_131,constructorId_164,constructorId_205,constructorId_206,constructorId_207,constructorId_208,constructorId_209,constructorId_210,constructorId_211,constructorId_213,constructorId_214,constructorId_215,statusId_11,statusId_131
194,27,8,1,6,6,6,6,3.0,67,+14.403,5495277,66,3,1:16.342,215.692,0,0,7,42,4.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195,27,9,4,7,7,7,7,2.0,67,+22.682,5503556,17,6,1:16.610,214.937,0,0,8,56,3.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
196,27,20,15,9,8,8,8,1.0,67,+33.299,5514173,20,8,1:16.772,214.484,1,0,4,36,8.25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,27,15,11,4,9,9,9,0.0,67,+37.158,5518032,17,12,1:17.023,213.785,-5,0,7,28,7.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
198,27,3,7,13,10,10,10,0.0,67,+37.625,5518499,34,15,1:17.380,212.799,3,0,5,65,7.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
199,27,4,5,5,11,11,11,0.0,67,+38.600,5519474,17,13,1:17.115,213.53,-6,0,6,30,8.6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
200,27,7,14,15,12,12,12,0.0,67,+39.111,5519985,63,10,1:16.969,213.935,3,0,1,15,12.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
201,27,14,9,10,13,13,13,0.0,67,+54.971,5535845,18,11,1:16.994,213.866,-3,0,5,50,8.6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
202,27,6,8,16,14,14,14,0.0,67,+1:00.003,5540877,23,17,1:17.691,211.947,2,0,3,48,9.333333333333334,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
203,27,16,20,19,15,15,15,0.0,67,+1:09.488,5550362,66,18,1:17.889,211.408,4,0,1,19,15.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
204,27,21,21,20,16,16,16,0.0,67,+1:24.093,5564967,67,20,1:18.208,210.546,4,0,1,20,16.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
209,28,5,23,2,1,1,1,10.0,70,1:37:27.067,5847067,19,7,1:21.753,192.917,1,0,8,16,5.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
